,dispute_id,c_code_1,state_name_abb_a,c_code_2,state_name_abb_b,year,outcome,settlement_type,total_fatality_bin,num_with,num_against,revision_sought,revision_type,state_fatality_bin,hostility_level,origin_participant,war,year_num,cumulative_duration,ongoing_2010,date_start,date_end,initiator
3701,3411,666,ISR,652,SYR,1950,Stalemate,None Value,1-25,1,1,1,Territory,1-25,4,1,0,1,201,0,1950-02-16,1950-09-04,0.0
3702,1374,775,MYA,713,TAW,1950,N/A,N/A,None Value,1,1,0,N/A,None Value,4,1,0,1,365,0,1950-01-01,1953-05-23,0.0
3703,3411,652,SYR,666,ISR,1950,Stalemate,None Value,1-25,1,1,0,N/A,None Value,4,1,0,1,201,0,1950-02-16,1950-09-04,1.0
3704,3386,651,EGY,666,ISR,1950,Stalemate,Negotiated,,1,1,1,Territory,,4,1,0,2,17,0,1949-12-23,1950-01-07,1.0
3705,2010,220,FRN,710,CHN,1950,Stalemate,None Value,1-25,1,1,0,N/A,1-25,4,1,0,1,1,0,1950-11-23,1950-11-23,1.0
3706,1112,41,HAI,42,DOM,1950,Stalemate,Negotiated,None Value,1,1,0,N/A,None Value,1,1,0,2,130,0,1949-09-25,1950-01-31,0.0
3707,2088,710,CHN,750,IND,1950,Stalemate,None Value,None Value,1,1,1,Territory,None Value,3,1,0,1,5,0,1950-11-16,1950-11-20,1.0
3708,2088,750,IND,710,CHN,1950,Stalemate,None Value,None Value,1,1,1,Territory,None Value,3,1,0,1,5,0,1950-11-16,1950-11-20,0.0
3709,51,710,CHN,20,CAN,1950,N/A,N/A,None Value,2,17,0,N/A,None Value,1,0,0,1,93,0,1950-09-30,1953-07-27,1.0
3710,2009,710,CHN,200,UKG,1950,Stalemate,None Value,None Value,1,1,0,N/A,None Value,4,1,0,1,8,0,1950-08-17,1950-08-24,0.0
